month,libor
Jan-2020,1.66
Dec-2019,1.76
Nov-2019,1.69
Oct-2019,1.79
Sep-2019,2.02
Aug-2019,2.09
Jul-2019,2.22
Jun-2019,2.40
May-2019,2.43
Apr-2019,2.48
Mar-2019,2.49
Feb-2019,2.49
Jan-2019,2.51
Dec-2018,2.50
Nov-2018,2.35
Oct-2018,2.31
Sep-2018,2.26
Aug-2018,2.11
Jul-2018,2.07
Jun-2018,2.09
May-2018,1.98
Apr-2018,1.91
Mar-2018,1.88
Feb-2018,1.66
Jan-2018,1.58
Dec-2017,1.57
Nov-2017,1.36
Oct-2017,1.24
Sep-2017,1.24
Aug-2017,1.24
Jul-2017,1.23
Jun-2017,1.23
May-2017,1.05
Apr-2017,1.00
Mar-2017,0.98
Feb-2017,0.78
Jan-2017,0.78
Dec-2016,0.77
Nov-2016,0.62
Oct-2016,0.53
Sep-2016,0.53
Aug-2016,0.52
Jul-2016,0.49
Jun-2016,0.44
May-2016,0.44
Apr-2016,0.44
Mar-2016,0.44
Feb-2016,0.44
Jan-2016,0.43
Dec-2015,0.42
Nov-2015,0.24
Oct-2015,0.19
Sep-2015,0.19
Aug-2015,0.20
Jul-2015,0.19
Jun-2015,0.19
May-2015,0.18
Apr-2015,0.18
Mar-2015,0.18
Feb-2015,0.17
Jan-2015,0.17
Dec-2014,0.17
Nov-2014,0.17
Oct-2014,0.15
Sep-2014,0.16
Aug-2014,0.16
Jul-2014,0.16
Jun-2014,0.16
May-2014,0.15
Apr-2014,0.15
Mar-2014,0.15
Feb-2014,0.16
Jan-2014,0.16